명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,좌석수,주차 시설,어린이놀이방,개업일,영업시간,쉬는날,대표메뉴,취급메뉴,할인정보,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,인허가번호
소라횟집,63360,소라횟집,064-784-3545,제주특별자치도 제주시 구좌읍 해맞이해안로 1240-3,33.5325096853,126.8463054731,"[제주시 구좌읍 세화리에 있는 소라횟집]
세화5일장 옆에 있는 소라횟집은 물회, 우럭매운탕 등 다양한 메뉴를 제공한다. 원양산 재료를 사용하는 갈치구이, 갈치조림을 제외한 모든 메뉴는 국내산 재료를 사용하여 제공한다.",064-784-3545,,,주차 가능,0,,09:00 ~ 21:00,매주 일요일,활우럭매운탕,활우럭매운탕 / 활우럭지리 / 활우럭조림 / 회덮밥 외,,모두 금연석,가능,,전화 예약 문의 (064-784-3545),,20070627549
은희네해장국,63253,은희네해장국,064-726-5622,제주특별자치도 제주시 고마로13길 8,33.5085574275,126.5407381130,"제주시 일도2동에 있는 소고기 해장국 전문점 은희네해장국은 제주항(국제여객선터미널)과 제주공항이 가까워 제주도 여행 시 이용하기 편리하며, 메뉴에는 단일 메뉴로 소고기 해장국을 제공한다.",064-726-5622,,,주차 가능,0,,06:00 ~ 15:00 (주말 06:00 ~ 14:00),목요일,소고기 해장국,,,모두 금연석,가능,,전화 예약 가능 (064-726-5622),,20020628344
광양해장국,63209,광양해장국,0507-1415-1780,제주특별자치도 제주시 광양13길 25,33.4998832591,126.5326584566,"제주시청 인근에 위치해 있는 광양해장국집은 해장국 전문 음식점으로, 개운한 맛의 해장국이 일품인 곳이다. 우거지, 선지, 콩나물 등이 넉넉하게 들어가 구수하고 얼큰한 맛이 해장하기에도 좋다. 이른 아침부터 시작해 오후 3시면 영업을 마치기 때문에 영업시간을 꼭 확인하고 가야한다.<br>",0507-1415-1780,,,주차 가능,0,,06:00 ~ 15:00,매주 월요일,해장국,해장국 / 내장탕 외,,,없음,,,,19900627204
돼지꿈,63129,돼지꿈,064-746-5999,제주특별자치도 제주시 제원길 6,33.4894531668,126.4892402453,"제주시 연동에 위치한 고기국수 및 국밥 전문점으로 국수, 순대, 국밥 등 다양한 메뉴를 제공하는 음식점이다.<br>",064-746-5999,,,주차 가능,0,,09:00 ~ 22:00,연중무휴,고기국수 / 순대국밥,고기국수 / 순대국밥 / 따로국밥 / 콩나물국밥 / 북어해장국 외,,모두 금연석,없음,,,,20020627033
동해미락,63596,동해미락,064-733-5921,제주특별자치도 서귀포시 칠십리로 133,33.2436426968,126.5682722641,"서귀포 바닷가에 위치한 횟집, 바다조망이라 전망이 좋다. 또한 매일 신선한 횟감과 해물을 맛볼수 있는곳<br>",064-733-5921,,,주차가능,0,,11:30 ~ 23:00,연중무휴,활어회 코스요리,갈치회 / 고등어회 / 다금바리,,모두 금연석,없음,전메뉴 포장가능,전화 예약 문의 (064-733-5921),,19910631031
우진해장국,63168,우진해장국,064-757-3393,제주특별자치도 제주시 서사로 11,33.5115900951,126.5200370657,제주식 해장국 요리를 맛볼 수 있는 곳이다. 대표메뉴는 육개장이다. 제주특별자치도 제주시에 있는 한식 전문점이다.,064-757-3393,,,,0,,06:00-22:00,연중무휴,육개장,육개장 / 녹두빈대떡,,금연,없음,,,,20020627011
놀맨,63043,놀맨,064-799-3332,제주특별자치도 제주시 애월읍 애월로1길 24,33.4624672084,126.3102342006,"제주시 애월읍에 위치한 해물라면 전문 음식점 놀맨에서는 주인이 직접 문어를 잡아와 해물라면을 제공한다. 당일 문어가 잡힌 경우에 한해서만 문어가 들어가며, 이외에 다양한 해물을 이용하여 라면을 제공한다.",064-799-3332,,,주차 가능,0,,10:00 ~ 15:00,화요일,해물라면,,,모두 금연석,없음,,,,20120627562
삼복가든,63346,삼복가든,064-784-8181,제주특별자치도 제주시 조천읍 비자림로 653,33.4367342104,126.6765362872,"삼복가든은 제주 미니랜드 인근에 위치한 한식 전문 음식점이다. 백숙, 볶음탕, 김치찌개, 된장찌개, 뼈다귀해장국, 정식 등 다양한 한식메뉴를 제공하며, 아침식사도 가능하다. <br>",064-784-8181,,,주차 가능,0,,06:30 ~ 23:00,일요일,"해물뚝배기, 된장찌개",백숙 / 흑돼지생구이 / 해물뚝배기 / 된장찌개 / 뼈다귀 해장국 외,,모두 금연석,없음,,전화 예약 가능 (064-784-8181),,20050627170
성미가든,63346,성미가든,064-783-7092,제주특별자치도 제주시 조천읍 교래1길 2,33.4375757895,126.6768806820,"[제주시 조천읍 교래리에 위치한 토종닭백숙 전문점 성미가든]<br>성미가든은 제주 조천읍 고래리에 위치한 토종닭백숙 전문점이다. 메뉴로는 샤브샤브, 닭볶음탕 두가지 메뉴가 있으며, 샤브샤브 메뉴의 경우에는 샤브샤브, 백숙, 녹두죽이 코스로 제공된다. 성미가든에서는 기본적으로 샤브샤브 메뉴가 주문이 들어가기 때문에 닭볶음탕을 주문하고자 하는 경우 반드시 이야기 해야 한다.",064-783-7092,,,주차 가능,0,,11:00 ~ 20:00,둘째·넷째 목요일,"샤브샤브(토종닭백숙, 녹두죽)","샤브샤브(백숙/녹두죽, 대/소) / 닭볶음탕",,모두 금연석,가능,,전화 예약 가능 (064-783-7092),,19960627715
청운식당,63643,청운식당,064-782-3912,제주특별자치도 서귀포시 성산읍 일출로 285,33.4630882380,126.9348910607,이른 아침에도 갈치요리를 맛볼 수 있는 곳이다. 대표메뉴는 갈치 정식이다. 제주특별자치도 서귀포시에 있는 한식 전문점이다.<br>,064-782-3912,,,주차 가능(성산일출봉 주차장),0,,09:00-20:40,연중무휴,갈치정식,갈치정식 / 해물뚝배기,,금연,없음,,가능,,19940631050
안거리 밖거리,63596,안거리 밖거리,064-763-2552,제주특별자치도 서귀포시 솔동산로 6-1,33.2442786707,126.5640615038,"이중섭거리, 이중섭미술관 인근에 위치한 제주 향토 음식 전문점으로, 정식메뉴를 시키면 옥돔구이, 돔베고기, 쌈, 된장찌개, 계란 찜 등 다양한 밑반찬이 15종류가 차려진다.<br>",064-763-2552,,,주차 가능,0,,08:30 ~ 21:00 (break time 15:30~17:00 / 주문마감 20:30),연중무휴(방문전 전화 요망),정식,정식 / 비빔밥 / 옥돔구이 외,,모두 금연석,가능,,전화 예약 가능 (064-763-2552),,19970631069
나운터횟집,63596,나운터횟집,064-763-2237,제주특별자치도 서귀포시 칠십리로 42,33.2409484408,126.5614062527,"중문 관광단지에서 차량으로 10분 거리 내 위치한 횟집이다.각종 활어회를 신선하게 먹을 수 있고, 다른 음식점과 달리 부채새우라는 음식을 보다 맛있게 먹을 수 있는 곳이다.",064-763-2237,,,,0,,12:00 ~ 22:00,연중무휴,구문쟁이코스,구문쟁이코스 / 나운터스페샬모듬회소 / 참돔회코스 외,,모두 금연석,가능,가능,"전화 예약 문의 (064-763-2237, 064-762-8198)","화장실:남녀개별 업소내 위치
",19970631100
옛날옛적,63633,옛날옛적,064-784-2252,제주특별자치도 서귀포시 성산읍 일주동로 4660,33.4144013834,126.8999785392,제주도 지역의 음식을 맛볼 수 있는 곳이다. 대표메뉴는 쌈밥으로 제주특별자치도 서귀포시에 있는 한식 전문점이다.,064-784-2252,,,주차 가능,0,,09:00 ~ 21:00,연중무휴,돔베 상차림,돔베 상차림 /  돔베고기 정식 외,,모두 금연석,가능,,전화 예약 가능 (064-784-2252),,20150631573
지오아라,63528,지오아라,010-3013-0851,제주특별자치도 서귀포시 안덕면 사계로114번길 54-86,33.2363505061,126.3078283451,"산방산 아래 자리한 지오아라는 투물러스 요거트, 누룩빌레 주먹밥이 대표메뉴이다.누룩빌레 주먹밥은 당근, 감자, 미역 등과 밥을 섞어 납작하게 튀긴 주먹밥이다.가운데 웅덩이처럼 파인곳에 양파와 칠리소스가 담겨 있어 함께 곁들여 먹으며 투물러스 요거트와도 잘 어울린다.",064-794-2892,,,,0,,12:00-21:00,전화문의,누룩빌레 주먹밥,누룩빌레 주먹밥 / 투물러스 요거트 / 에이드 외,,모두 금연석,가능,,전화 예약 문의 (010-3013-0851),,20150631382
젠하이드어웨이,63528,젠하이드어웨이,064-794-0133,제주특별자치도 서귀포시 안덕면 사계남로 186-8,33.2292374154,126.3085951026,"바로 앞에는 제주 바다, 멀리로는 산방산과 용머리해안이 그림같이 펼쳐진 곳이다. 이곳의 대표 메뉴는 차롱박스이다. 차롱박스란 제주어로 도시락 모양의 대나무 용기를 뜻한다. 여기에 감자튀김과 생선가스 등을 피시 앤 칩스처럼 담아낸 메뉴가 바로 차롱박스이다. 이 밖에도 산방산 돔 파스타(해산물을 넣고 파스타 반죽을 덮어 오븐에 구운 파스타)가 유명하다.",064-794-0133,,,,0,,11:00 ~ 21:00 (주문마감 20:00),명절연휴(전화문의),차롱박스 / 산방산 돔 파스타,차롱박스 / 산방산 돔 파스타 / 단호박 고로케 / 감자튀김 외,,모두 금연석,가능,,전화 예약 문의 (064-794-0188),,20140631343
사해방흑돼지(구 중문흑돼지),63540,사해방흑돼지(구 중문흑돼지),064-738-4577,제주특별자치도 서귀포시 천제연로 263,33.2515285729,126.4327393919,서귀포시 중문 관광단지 인근에 위치한 흑돼지 전문점이다. 신규로 오픈한 매장만큼 깔끔한 인테리어와 넓은 실내 그리고 놀이방이 갖추어져 있는 곳이다. 중문 관광단지 부근에서 단체 모임 예약시 픽업도 가능하다.<br>,064-738-4577,,,주차 가능(70여 대),0,,10:30 ~ 22:00,"두번째, 네번째 수요일",사해방흑돼지세트(中·大),사해방흑돼지세트(中·大) / 돼지생갈비 / 돼지양념갈비 / 전복해물뚝배기 / 왕갈비탕 / 냉면 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 문의 (064-738-4577),"화장실:남녀개별, 업소내 위치
",20130631497
파크사이드 다이닝,63522,파크사이드 다이닝,064-908-1610,제주특별자치도 서귀포시 안덕면 신화역사로304번길 89,33.3030766268,126.3178371034,"[제주신화월드 서머셋 클럽하우스에서 즐기는 브렉퍼스트 & 이탈리안 런치]
파크사이드 다이닝은 환상적인 전경을 감상하며 프리미엄 스테이크와 소물리에의 엄선된 와인 페어링을 함께 즐길 수 있는 레스토랑이다. 수준 높은 인테리어 디자인은 물론, 제주의 맛까지 가미된 고급 요리로 고객들에게 차별화된 미식의 경험을 제공한다. 탁 트인 공간에서 제주의 바다와 하늘도 함께 음미하시길 바란다.",064-908-1610,,,주차 가능,1,,"07:00 ~ 10:30 (조식), 12:00 ~ 14:30 (중식), 18:00 ~ 21:00 (석식)",연중무휴,딱새우 토마토 크림 파스타,딱새우 토마토 크림 파스타 / 씨푸드 크림 파스타 / 감베로니 알리오 올리오 / 마르게리따 피자 / 고르곤졸라 피자 / 새우장 덮밥 / 간장게장 덮밥 / 명란 아보카도 덮밥 / 불고기 덮밥 외,,모두 금연석,가능,,전화 예약 문의 (064-908-1200),"부대시설:공용주차장, 화장실, 무료 WIFI, 흡연구역, 편의점, 음료대, 유도 및 안내 시설, 경보 및 피난 시설, 노키즈존, 유아 의자, 유아 식기
",20180624640
제주선,63522,제주선,064-908-1260,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,33.3049513971,126.3164038528,"[코엑스 인터콘티넨탈 한국요리 부문 ‘올해의 셰프’로 선정된 '김병은' 쉐프의 제주의 제철 식재료로 선보이는 정갈한 한식] 
메리어트관 제주신화월드에 위치한 한식 전문점이다. 제주신화월드 메리어트 리조트관 G층에 위치한 제주선에서는 제주의 제철 식재료로 선보이는 정갈한 한식을 제공한다. 제주선 특선 메뉴에서는 가을의 향을 머금은 자연 송이 버섯과 부드러운 육질의 고소한 향미가 어우러지는 1++ 채끝 등심 구이를 선보인다 . 명인이 직접 빚은 고소리술과 같은 제주 전통주도 함께 만나볼 수 있다.",064-908-1260,,,주차 가능,1,,12:00 ~ 21:30 (브레이크타임 14:30 ~ 17:00),,제주선 코스 메뉴,제주선 코스 메뉴 / 런치 세트 / 채식주의자 메뉴 외,,모두 금연석,가능,가능,전화 예약 문의 (064-908-1240),"부대시설:공용주차장, 화장실, 무료 WIFI, 흡연구역, 편의점, 음료대, 유도 및 안내 시설, 경보 및 피난 시설, 노키즈존, 유아 의자
",20180624061
솔지식당,63095,솔지식당,064-749-0349,제주특별자치도 제주시 월랑로 88,33.4924164622,126.4725305199,"솔지 식당은 제주시 노형동, 민속 오일시장 근처에 있는 돼지구이 전문점이다. 특히 멜조림으로 유명한 도민 맛집으로 돼지고기는 제주산만을 사용한다. 대표 메뉴는 가브리살, 오겹살 목살 구이가 있고 기본 찬으로 모두부가 나오는데, 고기와 함께 구워 멜젓에 찍어 먹으면 별미이다. 공깃밥을 주문하면 미역국이 함께 나온다. 관광객과 도민 모두에게 멜조림으로 유명한 솔지식당은 주변엔 도두봉, 이호테우 해수욕장 등이 있다.",064-749-0349,,,있음,0,,"평일 12:00 ~21:40(20:30 라스트오더) , 주말 17:00~21:40 (20:30 라스트오더)",연중무휴,가브리살,"가브리살 / 오겹살, 멜조림, 순두부, 모듬 등",,금연,없음,,,,20070628095
제주바다2822,63535,,,제주특별자치도 서귀포시 중문관광로72번길 29-51(색달동),33.2459233246,126.4129856745,바다가 보이는 브런치 카페이다. 전망대 못지않은 훌륭한 뷰를 자랑한다. 중문관광단지 안 한국콘도와 롯데호텔 사이로 오면 쉽게 찾을 수 있다.,064-738-8884,,,,0,,매일10:00~19:00 날씨따라 변동발생,,"제주 위트에일, 맥파이브루어리",,,,없음,,,,
커피프렌즈촬영지,63521,,,제주특별자치도 서귀포시 안덕면 중산간서로 2026,33.2886863834,126.3072216792,커피 프렌즈 촬영지는 2019년 tvN에서 방영했던 커피 프렌즈 실제 촬영 장소를 브런치 카페로 계속 영업 중인 곳이다. 방송국 촬영 장소답게 예쁘게 잘 꾸며져 있으며 방송에 나왔던 백종원 레시피로 탄생한 브런치 메뉴들이 모두 인기가 좋다. 방송가에 절친한 친구로 알려진 배우 유연석과 손호준이 제주도 감귤농장을 카페로 개조해 운영하며 매출을 기부하는 형식의 예능프로그램으로 시청자들의 호감이 높아서인지 카페 이름을 커피 프렌즈 촬영지라고 그대로 사용하고 있다.,0507-1357-9891,,,주차가능,0,,10:00 - 19:00 (라스트오더 18:00),일요일,아메리카노,아메리카노 / 더치커피 / 카페라떼 / 미숫가루 라떼 / 우유에 빠진 귤 외,,,가능,가능,전화 예약,"화장실:가능 (남녀 구분)
",20190624314
토토아뜰리에,63057,,,제주특별자치도 제주시 애월읍 고성북길 112,33.4698485725,126.4131000861,"토토아뜰리에는 셀프쿠킹 체험을 할 수 있는 카페 겸 요리체험 공간이다. 성인을 위한 쿠킹 랩과 아이를 위한 쿠킹 랩이 따로 운영되고 있어, 아이들, 성인 모두가 즐겁게 체험을 할 수 있는 곳이다. 또한, 자체적으로 텃밭을 가꾸고 있어 이곳의 식재료를 이용해 음식을 만들어볼 수 있다. 치킨, 라자냐, 쿠키, 베이킹 등 다양한 음식 체험 활동을 할 수 있다. 쿠킹 체험을 할 수 있는 공간과 함께 카페도 운영하고 있어 여유롭게 티타임을 즐기기에도 좋다. 건물의 벽면이 모두 통유리로 되어있어 밖의 전경을 바라보며 여유로운 시간을 가질 수 있다. 카페 밖에는 아이들이 뛰어놀 수 있는 공간이 있어 가족과 함께 가기 좋다. 요리하는 모습을 전담 포토그래퍼가 촬영해 준다. 체험시간 : 약 50분 (체험시작시간 10:00, 11:00, 13:30, 14:30, 15:30, 16:30)",064-745-7676,,,있음 (전용 주차장),0,,10:00~18:00 (Break Time 12:20~13:00),월요일,"제주귤머랭파이 25,000원, 제주당근파운드케이크 21,500원","키즈메뉴: 5세(48개월~)~9세 / 키즈쿠킹클래스<br>성인메뉴: 10세, 15세 이상 / 셀프쿠킹랩",,,가능,가능,전화 예약,"부대시설:무선 인터넷
화장실:있음(남녀 구분)
",20190621627
만덕이네,63624,,,제주특별자치도 서귀포시 표선면 서성일로 16,33.3933743337,126.8011014756,"제주 성읍민속마을 근처에 있는 향토음식 전문점 만덕이네는 한식대첩4 우승 당시 백종원이 인정한 맛집이다. 식객 허영만 백반기행과 음담패썰 등 다수의 방송에서 맛집으로 인증 된곳으로, 제주 우수레스토랑 인증점 및 향토음식문화대전에서 대상을 받았다. 매콤한 갈치조림과 구수한 접짝뼈국. 싱싱한 전복과 제주 흑돼지가 들어가는 전복문어흑돼지 두루치기 정식이 인기 메뉴다. 상차림이 푸짐하고  친절해서 서귀포 관광객들의 필수 코스가 되고 있다.",064-787-3827,,,주차가능,0,,동절기 07:30 - 21:00<br>하절기 08:00 - 21:00,,"갈치조림정식, 전복문어흑돼지두루치기, 접짝뼈국","갈치조림, 흑돼지, 전복뚝배기, 성게미역국",,,가능,가능,064-787-3827,"부대시설:단체석, 주차, 무선 인터넷 
화장실:가능 (남녀구분)
",19950631066
거멍국수,63528,,,제주특별자치도 서귀포시 안덕면 사계로114번길 53-14,33.2444162290,126.3044173509,"제주도의 대표적 명소로 환상적인 경치를 자랑하는 산방산 근처에 있는 거멍국수에서는 독특한 파프리카 면과 깊은 맛을 내는 육수가 어우러진 고기국수를 맛볼 수 있다. 적당한 가격대와 국내산 재료만 사용하는 곳이며 파프리카를 이용해 직접 만든 면으로 국수를 만드는 게 특징이다. 신선한 채소와 수족관에서 바로 잡은 광어로 손질한 회가 가득 올라가 양념장과 함께 새콤달콤한 맛으로 입맛을 사로잡는 회국수 또한 인기가 많다. 깔끔한 외부만큼 식당 내부도 넓고 쾌적하고 주차장도 넓다. 그래서 가족모임이나 단체 회식장소로 좋다. 한 사람이 앉기 좋은 바 테이블도 있다. 어린이를 위한 편의 시설까지 갖추고 있어서 유아, 어린이를 동반한 손님들도 편하게 식사를 할 수 있다. 특히 창밖으로 보이는 산방산 뷰가 정말 좋다.",064-792-8787,,,있음 / 주차요금 무료,0,,08:30 - 19:30 (브레이크 타임 없음/마감시간 변동 가능),매주 화요일 정기휴일,파프리카를 이용한 면으로 만드는 고기국수,"회국수, 성게국수, 전복성게국수, 계란국수, 모듬만두, 돔베고기",,,가능,불가,064-792-8787,"부대시설:주차장, 화장실

화장실:있음(남녀구분)

",
가람돌솥밥,63544,,,제주특별자치도 서귀포시 중문관광로 332(대포동),33.2496843087,126.4313173340,"중문관광로에 있는 가람돌솥밥은, 어릴 적 해녀이신 어머니가 물질하여 따온 신선한 재료를 얹어 주시던 기억이 생생해 그 정성과 마음을 담아 어머니의 마음을 나누려고 2003년에 문을 열었다. 깔끔한 밑반찬과 성게미역국 인기가 좋으며 모든 상차림에 전복 또는 활어회가 제공된다. 해물돌솥밥을 마가린과 간장에 비벼 먹을 수 있도록 준비해둔 코너가 인상적이며, 친절한 사장님과 직원들이 항상 웃으며 응대한다. 서귀포에서 든든하게 아침밥을 챙겨먹기 좋은 곳이다.",064-738-1200,,,있음 / 주차요금 무료,0,,8:30 - 22:00,없음,"전복상차림, 통갈치구이상차림, 전복돌솥밥, 전복성게돌솥밥","전복해물뚝배기, 갈치조림, 고등어구이",,,가능,가능,,"화장실:있음 (남녀구분)

부대시설:단체석, 아기의자, 주차,  무선 인터넷 

",
난드르바당,63538,,,제주특별자치도 서귀포시 하예하동로16번길 11-1(하예동),33.2346461302,126.3709895690,"제주 대평리에 위치한 난드르바당은 유명한 관광지가 근처에 있지 않음에도 불구하고 바다 뷰를 감상하며 제주 흑돼지구이를 맛볼 수 있는 곳으로 찾는 사람이 많다. 기본 2인분 기준으로 제주 흑돼지 600g이 딱새우 된장찌개와 같이 제공되며, 함께 구워 먹을 수 있는 대하와 계절에 따라 소라 꼬치도 판매한다. 고기를 찍어 먹는 소스는 자리돔 젓이 제공되며, 고기 불판의 바깥쪽으로는 계란찜과 콘치즈가 올려지는데, 콘치즈는 셀프바에서 무한리필이 가능하며 계란찜은 추가 주문해야 한다. 야외 좌석에 앉기 원한다면, 식사 시간보다 빠르게 도착하기를 권한다.",064-739-0053,,,주차가능,0,,12:00 - 22:00,목요일,제주산 흑돼지,"돼지고기구이, 제주산 성게 미역국, 흑돼지 김치찌개",,,가능,,,"부대시설:단체석, 아기의자, 주차, 무선 인터넷
화장실:가능 (남녀구분)
",20150631276
